adrenaline, /əˈdren(ə)lɪn/," a chemical produced by your adrenal glands that makes your heart beat faster and gives you more energy when you are frightened, excited, or angry", noun,Stress gets the adrenalin flowing  (=makes you feel excited and active).
alien, /ˈeɪliən/, someone who is not a citizen of the country they are living in, noun,illegal aliens
amusement, /əˈmjuzmənt/, a feeling of being amused, noun,"Much to everyone’s amusement, someone hid his clothes while he was swimming."
amusement park,"", a place where people pay money to go on rides  (=large machines that you ride on for pleasure) and play games to win prizes, noun,""
ardent, /ˈɑrd(ə)nt/," feeling or showing a particular emotion very strongly, especially in support of someone or something", adjective,They remain ardent supporters of the Democratic Party.
baby, /ˈbeɪbi/, a very young child who cannot yet talk or walk. A baby who is old enough to walk is a toddler, noun,May I hold the baby?
badass, /ˈbædˌæs/, someone who can deal with difficult or dangerous situations without being afraid, noun,""
ball, /bɔl/, a round object used in games and sports, noun,Try to kick the ball into the back of the net.
ban, /bæn/," to say officially that people must not do, sell, or use something", verb,The book was banned from school libraries.
ban,"", an agreement between countries not to test nuclear weapons, noun,a nuclear test ban
ban, /bæn/," an official statement ordering people not to do, sell, or use something", noun,the beef export ban
bar, /bɑr/, a place where you go to buy and drink alcoholic drinks, noun,We met at Ernie’s Bar.
barn,"", used for saying that something has been done too late because the problem it should have prevented has already happened,phrase,""
barn,"", a humorous way of telling someone to shut the door after they come into a room or building,phrase,""
barn, /bɑrn/," a large building on a farm where animals, crops, or machines are kept", noun,""
barn,"", a type of owl with white and brown feathers and a face shaped like a heart, noun,""
barn,"", a social occasion at which people do traditional dances in groups, noun,""
barn,"", a farm building with a roof but no walls that is used for storing hay  (=dried grass used for feeding animals), noun,""
bench, /bentʃ/," a hard seat for two or more people, usually outside in a public place", noun,a park bench
blue, /blu/," something that is blue is the same color as the sky on a clear sunny day. If something is similar to this color, you can say that it is a bluish color", adjective,He looked at her with his pale blue eyes.
board, /bɔrd/," a long thin flat piece of wood, used especially for making floors and other parts of buildings", noun,There’s a loose board in the bedroom floor.
boat, /boʊt/," a small vehicle that people use for traveling on water. Boats are usually smaller than ships, and are moved by means of sails, oars, or motors", noun,The only way to get there was by boat.
book, /bʊk/," a written work that is published, either as printed pages inside a cover or electronically", noun,"a book by Nelson Mandela, entitled Long Walk to Freedom"
booking,""," someone whose job is to sell tickets, for example at a train station or a theater", noun,""
booking, /bʊk/," to buy tickets for an event or trip before you go, or to arrange to stay in a hotel at a particular time in the future", verb,Our flight was booked six months ago.
booking, /ˈbʊkɪŋ/," an arrangement to buy a travel ticket, stay in a hotel room, etc. at a later date", noun,"Increasingly, travelers are using the Internet for both information and bookings."
booking,"", a place where you can buy tickets for a trip, noun,""
booking,""," to arrange for yourself or someone else to stay at a hotel, hospital, etc.",phrasal verb,""
booking,""," to buy tickets for someone for a specific trip on an airplane, train, or bus",phrasal verb,Could you book me on the 8:30 flight?
booking,""," to promise the same seat, table, or room to two different people at the same time", verb,""
boom, /bum/," a sudden major increase in trade, profits, etc. in a particular country or region", noun,the economic boom of the 1980s
boon, /bun/, something useful that brings great benefits or makes your life easier, noun,"Falling PC prices are a boon for consumers, but bad news for manufacturers."
bottle, /ˈbɑt(ə)l/," a glass or plastic container for liquids, usually with a narrow part at the top that is called the neck", noun,an empty beer bottle
box, /bɑks/," a container with straight sides, a flat base, and sometimes a lid", noun,a stack of cardboard boxes
boy, /bɔɪ/, a male child, noun,a 10-year-old boy
burn,""," if something burns up, or if it is burned up, fire completely destroys it",phrasal verb,The spacecraft has a heat shield to prevent it burning up when it re-enters the Earth’s atmosphere.
burn,"", a final test for a piece of software in which it is used continuously to check for problems, noun,""
burn, /bɜrn/," if a fire or flame burns, it produces light and heat", verb,A fire was burning in the hearth.
burn, /bɜrn/, an injury that you get when something burns your skin, noun,He suffered burns to his face and hands.
burn,"", to use a piece of software continuously to check for problems,phrasal verb,""
cart,"", to do one thing before another thing that you should have done first,phrase,""
cart,""," a small low vehicle with no roof, used for racing or for fun", noun,""
cart,""," to take someone somewhere, especially to a prison or hospital",phrasal verb,I was carted off in an ambulance with the sirens blaring.
cart,""," a large basket on wheels that you push, used in a supermarket for carrying the things you want to buy", noun,""
cart, /kɑrt/," to carry or take something somewhere, especially something that is heavy or difficult to hold", verb,""
cart, /kɑrt/, a vehicle with four wheels and no roof that is pulled by a horse and is used for carrying things, noun,""
chair, /tʃer/," a piece of furniture for one person to sit on, with a back, legs, and sometimes two arms", noun,I had to sit on a hard wooden chair all day.
chess, /tʃes/," a game for two people, played on a board with black and white squares, using different shaped pieces, including two kings. The aim is to get the other player’s king into a position where it cannot move", noun,Do you play chess?
clock, /klɑk/," an object that shows the time. The object like a clock that you wear on your wrist is called a watch. Clocks either have a background called a face with hands that point to the hours and minutes, or they are digital clocks that show the time as a set of numbers. You say a clock is slow when it shows a time that is earlier than the correct time. You say it is fast when it shows a time that is later than the correct time", noun,The only sound was the clock ticking.
club,"", a group of people who meet regularly to discuss books they have read, noun,""
club, /klʌb/, an organization for people who have a common interest in a particular activity or subject, noun,a sailing club
club, /klʌb/, to hit someone with a heavy object, verb,""
club, /ˈkɑr ˌklʌb/, an organization that owns cars which members can rent for a fee, noun,""
club,"", a clear drink made by adding a gas to water, noun,""
club,""," an organization for people who like a particular famous actor, singer, player, etc. very much", noun,""
club,"", a long stick that you use for hitting the ball in golf, noun,a set of golf clubs
club,"", a short stick carried by a police officer as a weapon, noun,""
club,"", business class, noun,""
club,"", a club where members can go to do physical exercises, noun,""
computer, /kəmˈpjutər/," a machine that stores programs and information in electronic form and can be used for a variety of processes, for example writing, calculating, and communicating on the Internet", noun,All our computers are linked to a main network.
controller, /kənˈtroʊlər/, someone whose job is to manage an organization or part of an organization, noun,a graphics controller
cook,""," to cause a lot of problems for someone, or to spoil their plans",phrase,""
cook,"", a restaurant worker whose job is to cook food that can be prepared quickly, noun,""
cook,""," to change accounts and figures dishonestly, usually in order to get money",phrase,""
